2/12/2016
2:29 PM
Sampling Frequency:,10Hz 
0.00000,   0.4
0.00000,   0.8
-0.00001,  -1.0
-0.00001,  -1.4
-0.00001,  -0.4
0.00002,  -0.9
-0.00000,  -0.2
0.00001,  -0.1
-0.00000,  -0.2
0.00001,  -0.7
0.00002,  -0.9
-0.00000,  -1.6
0.00001,  -0.1
0.00001,  -0.1
-0.00001,   0.4
-0.00000,  -0.8
0.00001,  -0.4
-0.00001,  -0.4
0.00000,   0.4
0.00002,   0.2
0.00000,  -0.1
0.00000,   0.2
0.00000,  -0.2
-0.00000,  -0.0
0.00001,   0.2
0.00001,   0.2
0.00001,  -0.3
0.00001,   0.1
0.00000,  -0.3
0.00001,  -0.6
0.00001,  -0.5
0.00001,  -0.6
-0.00000,  -0.7
-0.00000,  -0.8
0.00000,  -1.5
0.00001,  -1.1
-0.00000,  -0.4
0.00000,   0.2
-0.00000,  -1.1
0.00001,  -1.0
-0.00000,  -0.8
0.00000,  -1.5
0.00000,  -1.0
0.00000,  -0.2
0.00001,  -0.3
0.00001,  -0.3
0.00000,   0.4
0.00001,   0.0
0.00000,  -0.5
0.00001,  -0.4
0.00002,  -0.1
0.00000,   0.5
0.00001,   0.1
-0.00001,  -0.6
0.00002,  -1.3
0.00001,   0.0
0.00000,   0.6
-0.00000,  -1.0
0.00002,   0.3
0.00001,  -0.1
0.00002,   0.7
0.00001,   0.0
0.00001,   0.4
0.00001,  -0.3
0.00002,  -0.9
0.00000,  -0.1
0.00001,   0.1
-0.00000,   0.2
-0.00001,  -0.6
0.00000,  -0.7
0.00001,  -0.4
0.00001,  -0.1
0.00002,   0.1
-0.00002,  -0.2
-0.00001,  -0.1
-0.00001,  -0.3
-0.00001,   0.4
0.00001,  -0.4
-0.00001,  -0.5
0.00000,   0.1
0.00001,  -0.3
0.00002,  -0.2
-0.00000,   0.4
-0.00001,   0.7
0.00000,   0.2
0.00001,   0.5
0.00000,   1.0
0.00001,   0.8
0.00001,  -0.1
0.00002,   0.1
0.00000,   1.5
-0.00001,  -0.2
-0.00000,   0.3
0.00001,   0.2
0.00001,   0.3
0.00000,   0.1
0.00001,  -0.4
0.00001,   1.1
-0.00001,   0.7
0.00001,  -0.6
0.00000,   0.5
0.00000,  -0.2
0.00002,   1.0
0.00001,  -0.2
0.00000,   0.8
0.00001,  -0.6
0.00000,   0.4
-0.00000,   0.8
0.00001,   0.6
0.00001,   0.9
0.00002,   0.2
0.00001,   1.0
0.00001,   0.6
0.00001,   0.9
0.00000,   0.9
0.00001,   0.9
-0.00000,  -0.6
0.00000,  -0.1
0.00002,  -0.3
0.00002,   0.2
0.00001,  -0.5
-0.00000,   0.1
0.00002,   0.1
0.00001,   0.5
0.00002,   0.6
0.00002,   0.3
0.00002,   0.8
0.00001,   0.1
0.00001,   0.3
0.00001,  -0.0
0.00001,  -0.8
0.00003,  -0.8
0.00002,  -1.6
0.00001,   0.8
0.00001,  -0.6
0.00002,  -0.6
-0.00001,   1.0
0.00002,  -1.0
0.00001,   0.4
0.00002,  -0.4
0.00000,   0.5
-0.00001,   0.4
-0.00000,  -1.0
0.00001,  -0.7
0.00001,  -0.5
0.00000,  -0.3
0.00000,  -0.5
0.00001,  -0.0
0.00002,  -0.0
-0.00000,  -0.4
-0.00001,  -0.3
0.00000,   0.1
-0.00001,  -0.4
0.00002,  -0.8
0.00001,  -0.5
0.00001,   0.6
-0.00000,   0.5
-0.00000,   0.2
-0.00001,   0.4
0.00001,  -0.1
-0.00000,  -1.1
0.00000,  -0.6
-0.00000,  -0.3
0.00000,  -0.3
-0.00001,   0.5
0.00001,  -0.5
0.00000,   0.0
0.00002,  -1.4
0.00001,   0.3
0.00001,  -0.5
0.00001,  -1.2
0.00001,  -1.0
-0.00000,   0.2
0.00000,   0.4
0.00000,  -0.9
0.00002,  -0.2
0.00002,   0.1
-0.00001,  -0.2
-0.00000,   1.0
0.00001,  -0.9
0.00001,  -0.9
0.00001,  -0.7
0.00000,  -0.9
0.00002,  -0.4
-0.00000,  -0.1
0.00001,  -0.8
0.00000,   0.5
0.00001,  -0.4
0.00000,  -0.3
0.00001,  -0.6
0.00001,   0.3
0.00000,  -1.3
0.00001,  -0.4
0.00001,  -0.6
0.00002,  -1.0
0.00002,  -0.4
-0.00001,  -0.3
-0.00000,   0.3
0.00002,  -0.1
0.00002,  -1.0
0.00001,   0.1
-0.00000,  -0.5
0.00000,  -0.5
0.00001,  -0.7
0.00001,  -0.3
0.00001,  -0.7
0.00002,  -1.4
0.00002,   0.3
0.00000,  -0.1
0.00001,  -1.0
0.00001,  -1.1
-0.00002,  -0.4
0.00002,  -1.1
0.00001,  -0.2
-0.00000,   0.1
0.00000,   0.0
0.00001,  -0.5
0.00000,  -0.6
0.00000,  -0.4
0.00002,  -0.3
0.00002,  -0.5
0.00003,  -1.4
0.00001,   0.2
0.00001,   1.1
0.00001,  -0.4
0.00001,  -0.5
0.00001,   0.5
0.00002,  -0.9
0.00001,  -0.1
0.00002,  -0.6
0.00001,   0.9
0.00000,   0.2
0.00001,   0.2
0.00002,   0.2
0.00002,   0.2
0.00001,   0.2
0.00001,   0.7
0.00002,  -0.4
0.00002,   0.0
0.00001,   0.4
0.00002,   0.5
0.00002,   0.2
0.00002,  -1.3
0.00003,   0.2
0.00000,   1.3
0.00001,  -0.3
0.00002,  -0.7
0.00002,  -0.7
0.00003,   0.3
0.00002,  -0.0
0.00002,  -0.3
0.00002,   1.2
0.00001,  -1.1
0.00000,  -1.1
0.00002,   0.1
0.00000,   0.2
0.00001,  -0.4
0.00001,  -0.3
0.00002,   0.9
0.00002,  -0.4
0.00001,   0.6
0.00001,   0.2
0.00001,   0.6
0.00001,   0.1
0.00000,  -1.2
-0.00000,  -0.2
0.00000,   0.6
0.00000,  -0.2
0.00000,   0.4
-0.00000,  -0.0
0.00003,   0.6
0.00002,   0.0
0.00002,   0.1
0.00003,  -0.0
0.00001,  -0.0
0.00000,  -0.4
0.00001,   1.3
0.00001,   0.3
0.00001,   0.6
0.00001,   0.7
0.00000,  -0.1
-0.00001,   0.5
0.00002,  -0.6
0.00001,  -0.3
0.00000,  -0.2
0.00001,   0.7
0.00002,  -0.0
-0.00002,  -1.1
0.00002,   0.3
-0.00001,  -0.4
0.00001,  -0.3
-0.00000,   0.1
-0.00001,  -0.9
0.00001,  -1.2
-0.00000,   0.5
-0.00002,   0.3
0.00001,   0.0
0.00001,  -0.5
-0.00000,   0.3
0.00001,   0.8
0.00001,   0.2
-0.00000,  -0.4
0.00001,  -0.6
0.00001,  -0.0
0.00001,  -0.2
-0.00000,   0.1
-0.00000,  -0.0
-0.00001,   0.3
0.00000,  -0.1
0.00001,  -0.9
0.00001,  -0.7
-0.00001,  -0.4
0.00001,  -0.4
0.00002,   0.4
0.00001,   0.2
-0.00000,   0.6
0.00001,  -0.4
0.00002,   0.5
-0.00000,   0.1
0.00001,   0.4
0.00000,   0.0
-0.00001,  -0.4
0.00001,   0.3
0.00000,  -0.2
-0.00001,  -0.8
0.00000,  -0.3
0.00001,  -0.7
0.00001,  -1.4
0.00000,  -0.4
-0.00001,  -1.0
0.00002,  -1.8
0.00000,  -0.5
-0.00000,  -0.4
-0.00000,   0.1
0.00002,  -0.0
0.00003,  -1.4
0.00002,  -0.5
0.00002,  -0.0
0.00001,  -1.4
0.00002,   0.1
0.00000,  -1.0
0.00003,  -0.8
0.00000,  -0.6
0.00001,  -0.6
0.00002,  -0.7
0.00002,  -0.6
0.00001,  -0.3
0.00001,  -0.3
0.00001,  -0.3
0.00001,  -0.1
-0.00001,  -0.1
0.00000,  -0.8
0.00001,  -0.9
-0.00001,  -0.9
0.00001,  -0.3
0.00001,  -0.5
0.00002,  -0.5
0.00001,  -0.2
0.00002,   0.4
0.00001,  -0.4
0.00001,   0.0
0.00002,  -0.1
0.00002,   0.6
0.00003,  -0.7
-0.00000,  -0.0
0.00001,   0.0
-0.00001,  -0.6
0.00002,  -0.4
0.00003,   0.2
0.00003,   1.3
0.00001,   0.1
-0.00000,  -0.1
-0.00000,   0.0
-0.00000,   0.6
0.00001,   0.3
0.00001,  -0.2
0.00001,  -0.2
0.00002,   0.7
0.00001,   0.6
0.00002,   0.7
0.00001,   1.4
0.00002,   0.4
0.00002,   0.0
0.00002,   0.7
0.00002,   0.8
0.00002,  -0.2
0.00001,   0.2
0.00001,   0.1
0.00003,   0.2
0.00001,   0.6
0.00001,   1.2
0.00003,   0.7
0.00001,  -0.5
0.00002,   0.1
0.00002,   0.0
0.00001,  -0.6
0.00002,   0.2
0.00002,   0.1
0.00003,   0.3
0.00003,   0.2
0.00002,   0.0
0.00001,   0.5
0.00002,  -0.9
0.00001,   0.2
0.00002,  -1.0
0.00002,   0.4
0.00003,  -1.2
0.00002,  -0.3
0.00001,  -0.5
0.00002,  -0.4
0.00002,   0.4
0.00002,  -0.0
0.00002,   0.6
0.00001,   0.2
0.00001,   0.5
0.00002,   0.6
0.00001,   0.9
0.00002,  -0.6
0.00002,   0.3
0.00000,   1.4
0.00002,  -0.9
0.00002,  -0.1
0.00002,   0.3
0.00001,  -0.4
0.00001,  -0.1
0.00002,   0.3
0.00002,   0.9
0.00002,   0.2
0.00001,  -0.2
0.00002,  -0.6
0.00001,   0.6
0.00000,   0.0
0.00001,   0.2
0.00001,   1.2
0.00003,  -0.1
0.00002,   0.2
0.00003,  -0.8
0.00001,   0.5
0.00002,   0.7
0.00002,   0.5
-0.00000,   0.3
0.00002,  -0.0
0.00001,   0.3
0.00001,  -0.2
0.00001,   0.5
0.00001,  -0.2
-0.00000,   0.9
0.00002,  -0.1
0.00002,   0.1
0.00002,  -0.3
0.00001,  -0.3
0.00002,   0.9
0.00002,   0.3
0.00001,   0.2
0.00002,  -0.0
0.00002,   0.7
0.00002,  -0.0
0.00002,  -0.1
0.00002,   0.4
0.00001,   0.6
0.00002,   0.1
0.00003,   0.3
0.00001,   0.5
0.00002,   0.3
0.00001,  -1.5
0.00001,  -1.4
0.00000,  -0.1
0.00001,  -1.2
0.00001,   0.3
0.00002,   0.0
0.00002,   0.0
0.00002,   0.4
0.00002,   0.6
0.00000,  -0.1
0.00001,  -0.4
0.00003,  -0.7
0.00001,   1.2
0.00003,   0.4
0.00004,  -0.0
0.00002,   1.1
0.00002,   0.8
0.00001,  -0.2
0.00003,  -0.2
0.00001,   0.8
0.00003,   0.1
0.00002,   0.2
0.00001,  -0.4
0.00002,  -0.7
0.00002,  -0.8
0.00002,   0.5
0.00003,  -0.1
0.00003,  -0.4
0.00002,  -0.2
0.00003,  -0.5
0.00002,   0.1
0.00002,   0.2
0.00001,   0.3
0.00001,   0.4
0.00003,  -0.2
0.00001,  -0.8
0.00001,  -0.3
0.00002,   0.2
0.00002,   1.0
0.00002,   0.7
0.00002,  -0.8
0.00002,  -0.1
0.00002,   0.1
0.00002,  -0.7
0.00001,   0.2
0.00002,   0.6
0.00002,   0.0
0.00001,   0.1
0.00002,   0.2
0.00002,   0.9
0.00001,  -0.5
0.00000,   0.1
0.00002,  -0.1
0.00001,  -0.0
0.00002,   0.0
0.00001,   0.1
0.00002,  -1.1
0.00002,  -0.9
0.00002,  -0.1
0.00003,  -0.6
0.00001,   1.1
0.00001,   0.4
0.00001,   0.2
0.00000,   0.0
-0.00000,  -0.7
0.00002,   0.5
-0.00000,   0.6
0.00001,  -0.1
0.00002,   0.7
0.00001,   0.9
0.00001,   0.2
0.00000,   0.0
-0.00000,  -0.0
0.00002,   0.4
0.00002,   0.8
0.00001,  -0.8
0.00002,   0.1
0.00000,  -0.4
0.00001,  -0.3
-0.00000,  -0.2
0.00001,   0.0
0.00001,   0.4
0.00002,   0.1
0.00000,  -0.5
0.00001,   0.0
0.00001,  -0.1
-0.00000,  -0.9
0.00002,  -1.2
0.00002,  -1.5
0.00000,  -0.3
0.00001,  -0.0
0.00002,  -0.8
0.00002,  -1.8
0.00001,  -0.0
0.00002,  -0.1
0.00002,  -0.4
0.00002,  -0.4
0.00001,  -0.3
0.00001,   0.7
0.00001,   0.2
0.00003,   0.2
0.00002,  -0.0
0.00002,   0.4
0.00003,  -0.2
0.00002,  -0.5
0.00002,   0.4
0.00002,  -0.3
0.00002,  -0.1
0.00003,   0.5
0.00001,  -0.2
0.00001,  -0.2
0.00002,   0.1
0.00002,  -0.2
0.00003,   0.2
0.00004,   0.1
0.00003,  -0.7
0.00003,   0.5
0.00003,  -0.6
0.00002,  -0.2
0.00000,   0.2
0.00003,   0.3
0.00004,  -0.7
0.00003,  -0.6
0.00003,  -0.0
0.00003,  -0.7
0.00002,  -0.7
0.00002,  -0.4
0.00001,  -0.5
0.00002,  -0.9
0.00001,  -0.9
0.00001,   0.1
0.00002,  -0.2
0.00003,  -0.4
0.00002,  -0.3
0.00002,  -1.0
0.00002,  -0.7
0.00001,  -0.2
0.00002,  -0.1
0.00001,  -0.7
-0.00000,   0.3
-0.00000,  -0.4
0.00001,  -0.9
-0.00000,  -0.6
0.00002,  -0.2
0.00002,  -1.1
0.00002,  -0.1
0.00001,  -0.1
0.00002,  -0.2
0.00004,  -1.0
0.00001,  -0.4
0.00002,  -1.1
0.00003,  -0.2
0.00002,  -0.2
0.00002,  -0.6
0.00004,  -0.8
0.00000,  -0.3
0.00002,  -0.8
0.00002,  -0.9
0.00002,  -0.9
0.00000,  -0.3
-0.00000,   0.0
0.00000,  -1.0
0.00002,  -0.1
0.00001,  -1.7
0.00002,  -0.7
0.00002,  -0.7
0.00001,   0.3
0.00002,  -0.9
0.00002,  -0.8
0.00001,   0.1
0.00002,  -0.8
0.00001,  -0.6
0.00001,  -0.8
0.00000,  -0.2
0.00001,  -0.7
-0.00000,  -0.8
0.00000,  -0.7
0.00002,   0.3
0.00001,  -0.3
0.00002,  -0.7
0.00002,  -0.3
0.00001,  -1.1
0.00001,  -0.6
0.00000,  -0.1
0.00000,   0.4
0.00001,  -0.1
0.00001,  -0.9
0.00001,  -0.7
0.00001,  -0.5
0.00002,  -0.2
0.00001,  -0.0
0.00001,  -0.2
0.00002,   0.3
0.00001,  -1.1
0.00001,  -1.1
0.00000,   0.1
0.00001,  -1.0
-0.00001,   0.9
0.00000,   0.1
0.00001,  -0.6
0.00002,  -0.1
0.00000,  -0.8
0.00001,  -1.0
0.00001,   0.2
0.00001,  -1.1
0.00002,   0.4
0.00001,   0.0
-0.00001,  -0.3
0.00002,   0.5
0.00002,   0.5
0.00001,  -0.7
0.00002,  -0.2
0.00002,  -0.2
0.00003,   0.1
0.00001,   0.5
0.00000,   0.1
0.00002,   0.2
0.00001,  -1.2
0.00001,  -0.2
0.00002,  -0.0
0.00003,  -0.9
0.00000,  -0.7
0.00001,   0.3
0.00002,   0.3
0.00002,   0.0
0.00002,   0.3
-0.00000,  -0.1
0.00001,   0.1
0.00001,  -1.0
0.00002,  -0.9
0.00002,  -0.3
0.00001,  -0.8
0.00001,   0.1
0.00002,  -0.1
0.00001,   0.1
0.00001,  -0.6
0.00002,  -0.1
0.00002,  -0.5
0.00002,   0.4
0.00003,  -0.0
0.00002,  -0.1
0.00002,  -0.0
0.00001,  -0.1
0.00001,   0.2
0.00003,  -0.6
0.00001,  -0.1
0.00002,  -0.2
0.00001,   0.0
-0.00001,   1.0
0.00002,   1.4
0.00001,  -0.3
0.00003,   0.6
0.00002,   2.2
0.00004,   4.1
0.00004,   3.0
0.00002,   3.8
0.00005,   5.0
0.00005,   4.7
0.00004,   5.7
0.00006,   6.3
0.00006,   5.1
0.00006,   7.2
0.00006,   6.5
0.00007,   6.3
0.00007,   5.8
0.00006,   5.8
0.00009,   6.4
0.00009,   5.8
0.00007,   6.8
0.00009,   7.3
0.00010,   7.5
0.00008,   7.5
0.00010,   6.4
0.00010,   8.3
0.00012,   7.5
0.00012,   7.8
0.00011,   9.1
0.00012,   8.2
0.00014,   8.8
0.00014,   9.4
0.00013,  10.2
0.00016,   9.7
0.00016,  10.3
0.00019,  11.1
0.00017,  11.0
0.00017,  11.3
0.00019,  11.4
0.00018,  11.9
0.00019,  12.0
0.00020,  11.2
0.00021,  11.8
0.00021,  13.1
0.00020,  11.7
0.00020,  12.0
0.00022,  12.7
0.00021,  12.4
0.00021,  12.0
0.00019,  10.9
0.00021,  11.9
0.00020,  12.3
0.00021,  11.9
0.00019,  12.5
0.00020,  13.5
0.00020,  13.2
0.00020,  12.7
0.00020,  13.4
0.00020,  13.5
0.00021,  12.9
0.00019,  12.9
0.00019,  13.9
0.00020,  13.5
0.00018,  14.1
0.00021,  13.7
0.00019,  14.1
0.00020,  13.2
0.00020,  14.1
0.00020,  14.1
0.00019,  15.1
0.00021,  15.0
0.00021,  15.9
0.00021,  15.7
0.00021,  15.6
0.00020,  15.1
0.00021,  15.9
0.00022,  15.7
0.00022,  16.1
0.00021,  16.6
0.00022,  18.3
0.00022,  17.0
0.00023,  17.0
0.00023,  17.4
0.00023,  18.0
0.00023,  18.2
0.00023,  18.3
0.00022,  19.0
0.00024,  19.7
0.00023,  19.7
0.00023,  20.5
0.00023,  20.2
0.00023,  21.2
0.00026,  21.8
0.00022,  21.9
0.00024,  21.7
0.00026,  22.0
0.00025,  22.3
0.00026,  23.6
0.00026,  23.0
0.00025,  22.9
0.00026,  23.8
0.00027,  23.9
0.00027,  22.5
0.00027,  23.3
0.00027,  23.8
0.00027,  25.0
0.00027,  24.4
0.00027,  25.3
0.00028,  26.2
0.00029,  26.0
0.00028,  28.1
0.00028,  27.9
0.00028,  28.5
0.00028,  29.0
0.00028,  29.7
0.00030,  29.9
0.00030,  29.8
0.00028,  30.3
0.00030,  32.5
0.00029,  32.6
0.00030,  33.4
0.00031,  34.3
0.00030,  34.5
0.00031,  34.9
0.00032,  36.0
0.00032,  38.0
0.00032,  37.7
0.00031,  37.4
0.00033,  38.8
0.00032,  39.8
0.00033,  39.8
0.00033,  40.1
0.00032,  41.3
0.00033,  42.1
0.00034,  42.7
0.00034,  43.7
0.00035,  44.7
0.00034,  44.6
0.00036,  45.7
0.00035,  46.8
0.00035,  47.9
0.00036,  48.7
0.00037,  49.1
0.00036,  50.5
0.00037,  51.9
0.00039,  52.8
0.00040,  53.1
0.00039,  53.9
0.00039,  55.3
0.00039,  56.0
0.00041,  57.6
0.00040,  58.8
0.00041,  59.0
0.00042,  61.5
0.00041,  62.1
0.00042,  63.1
0.00042,  64.5
0.00043,  65.6
0.00043,  66.5
0.00045,  68.7
0.00046,  70.5
0.00044,  71.3
0.00046,  72.2
0.00045,  73.3
0.00047,  74.3
0.00046,  75.2
0.00048,  77.0
0.00048,  78.4
0.00049,  80.1
0.00048,  81.8
0.00049,  81.6
0.00049,  84.5
0.00050,  85.7
0.00052,  87.0
0.00053,  88.4
0.00051,  89.4
0.00052,  91.3
0.00054,  92.1
0.00054,  93.7
0.00052,  96.4
0.00054,  96.8
0.00055,  98.3
0.00055, 100.3
0.00057, 101.8
0.00057, 102.7
0.00058, 106.0
0.00058, 107.7
0.00058, 109.0
0.00058, 110.6
0.00060, 111.3
0.00061, 113.1
0.00062, 114.0
0.00062, 116.9
0.00062, 117.3
0.00064, 119.5
0.00064, 120.6
0.00064, 122.4
0.00065, 125.1
0.00068, 126.3
0.00065, 128.9
0.00068, 130.1
0.00069, 131.8
0.00068, 132.9
0.00069, 135.4
0.00071, 137.1
0.00072, 138.1
0.00071, 140.2
0.00073, 142.9
0.00075, 144.4
0.00075, 146.4
0.00076, 147.7
0.00077, 150.1
0.00077, 152.0
0.00080, 154.1
0.00079, 157.1
0.00081, 158.4
0.00082, 158.8
0.00085, 161.5
0.00084, 163.8
0.00085, 165.6
0.00086, 167.8
0.00088, 170.3
0.00089, 171.5
0.00091, 173.2
0.00093, 176.1
0.00093, 177.9
0.00096, 177.8
0.00097, 180.3
0.00097, 182.4
0.00099, 185.6
0.00101, 185.9
0.00104, 187.0
0.00104, 190.2
0.00107, 192.0
0.00108, 193.4
0.00113, 196.6
0.00113, 196.9
0.00114, 200.3
0.00116, 200.6
0.00122, 203.7
0.00122, 204.1
0.00124, 206.6
0.00128, 208.2
0.00130, 209.9
0.00134, 210.8
0.00137, 212.5
0.00141, 213.7
0.00143, 215.5
0.00147, 218.0
0.00153, 219.8
0.00155, 220.8
0.00159, 221.6
0.00163, 223.5
0.00168, 225.3
0.00173, 226.2
0.00177, 227.2
0.00183, 229.1
0.00187, 230.0
0.00191, 232.4
0.00197, 233.9
0.00202, 234.2
0.00208, 236.3
0.00213, 236.8
0.00219, 238.5
0.00222, 239.6
0.00228, 239.7
0.00234, 241.6
0.00238, 243.9
0.00244, 244.6
0.00250, 245.8
0.00256, 246.6
0.00260, 249.0
0.00266, 249.1
0.00271, 251.3
0.00278, 251.6
0.00285, 253.5
0.00291, 254.4
0.00295, 255.5
0.00301, 257.1
0.00308, 258.9
0.00314, 259.9
0.00319, 260.5
0.00326, 262.7
0.00332, 262.5
0.00337, 265.1
0.00344, 265.4
0.00351, 267.1
0.00356, 268.4
0.00363, 269.4
0.00369, 270.3
0.00376, 272.4
0.00383, 272.2
0.00389, 273.8
0.00396, 275.4
0.00403, 277.3
0.00409, 277.6
0.00415, 279.4
0.00421, 280.0
0.00429, 280.3
0.00436, 282.2
0.00443, 283.0
0.00448, 285.0
0.00456, 285.2
0.00462, 285.4
0.00468, 286.7
0.00475, 288.1
0.00480, 288.7
0.00489, 292.1
0.00495, 292.0
0.00504, 292.2
0.00508, 293.3
0.00517, 294.9
0.00523, 295.5
0.00530, 296.5
0.00536, 298.0
0.00545, 299.0
0.00551, 300.1
0.00557, 302.1
0.00565, 301.4
0.00574, 302.9
0.00578, 304.1
0.00585, 303.7
0.00592, 305.1
0.00599, 306.0
0.00607, 307.7
0.00613, 309.2
0.00620, 309.4
0.00626, 309.7
0.00634, 312.0
0.00639, 312.8
0.00646, 312.6
0.00656, 313.6
0.00661, 315.2
0.00667, 316.0
0.00674, 317.9
0.00681, 318.3
0.00689, 318.8
0.00696, 320.0
0.00702, 321.4
0.00711, 322.0
0.00715, 323.0
0.00723, 323.4
0.00730, 325.1
0.00737, 325.2
0.00744, 326.7
0.00751, 326.9
0.00760, 328.4
0.00767, 329.4
0.00775, 330.0
0.00781, 330.8
0.00788, 332.2
0.00793, 333.5
0.00803, 333.6
0.00810, 334.7
0.00817, 336.5
0.00824, 337.3
0.00832, 338.1
0.00839, 337.9
0.00845, 339.3
0.00852, 340.0
0.00860, 340.1
0.00867, 342.4
0.00874, 342.6
0.00880, 344.1
0.00888, 344.8
0.00895, 345.7
0.00903, 346.6
0.00910, 347.7
0.00917, 347.3
0.00924, 348.9
0.00929, 349.5
0.00938, 351.3
0.00942, 351.6
0.00951, 352.1
0.00958, 352.8
0.00965, 353.4
0.00972, 355.5
0.00980, 355.1
0.00988, 356.5
0.00995, 358.5
0.01004, 358.4
0.01012, 359.6
0.01018, 361.0
0.01027, 361.4
0.01033, 361.8
0.01040, 362.0
0.01049, 363.8
0.01055, 364.5
0.01062, 365.6
0.01070, 366.7
0.01077, 367.1
0.01086, 367.6
0.01093, 370.3
0.01098, 370.4
0.01107, 370.7
0.01114, 372.3
0.01122, 372.5
0.01129, 373.7
0.01139, 374.7
0.01145, 375.3
0.01152, 375.2
0.01159, 376.6
0.01167, 377.0
0.01175, 378.0
0.01182, 379.5
0.01190, 381.4
0.01198, 381.5
0.01205, 382.5
0.01214, 382.4
0.01221, 383.7
0.01229, 384.5
0.01236, 384.7
0.01243, 386.0
0.01251, 386.7
0.01259, 388.4
0.01268, 389.8
0.01275, 389.3
0.01284, 390.5
0.01290, 391.9
0.01300, 392.2
0.01307, 392.7
0.01316, 393.7
0.01323, 395.1
0.01332, 395.0
0.01340, 395.4
0.01348, 397.4
0.01355, 398.8
0.01364, 399.0
0.01371, 398.9
0.01379, 399.9
0.01388, 401.2
0.01394, 401.4
0.01401, 402.4
0.01410, 403.6
0.01418, 404.1
0.01424, 405.4
0.01434, 406.1
0.01441, 406.6
0.01449, 407.8
0.01457, 407.6
0.01463, 409.4
0.01471, 409.8
0.01478, 409.7
0.01487, 411.3
0.01493, 412.8
0.01503, 412.4
0.01508, 413.9
0.01517, 413.9
0.01525, 414.9
0.01533, 416.6
0.01541, 416.0
0.01548, 416.7
0.01554, 418.1
0.01562, 418.9
0.01571, 421.4
0.01578, 420.5
0.01587, 421.2
0.01595, 422.3
0.01601, 422.4
0.01607, 423.5
0.01615, 424.5
0.01625, 424.8
0.01631, 426.0
0.01640, 427.0
0.01647, 427.4
0.01653, 427.9
0.01663, 428.6
0.01670, 430.2
0.01678, 430.5
0.01687, 431.0
0.01696, 432.0
0.01705, 433.8
0.01712, 433.6
0.01719, 433.5
0.01727, 434.9
0.01735, 435.9
0.01744, 436.4
0.01752, 437.1
0.01760, 437.5
0.01769, 439.3
0.01776, 438.8
0.01786, 440.9
0.01793, 441.9
0.01801, 442.6
0.01809, 443.9
0.01815, 443.5
0.01823, 444.6
0.01831, 444.7
0.01841, 445.7
0.01846, 446.8
0.01856, 447.1
0.01863, 448.4
0.01872, 449.8
0.01880, 450.0
0.01888, 451.0
0.01895, 452.5
0.01902, 451.1
0.01910, 453.2
0.01921, 453.3
0.01927, 453.4
0.01935, 454.6
0.01944, 455.5
0.01949, 456.9
0.01959, 456.7
0.01969, 457.9
0.01977, 458.7
0.01983, 459.7
0.01992, 459.7
0.01998, 460.9
0.02010, 461.3
0.02016, 462.3
0.02022, 462.7
0.02033, 464.2
0.02039, 464.6
0.02049, 466.1
0.02058, 466.3
0.02068, 466.7
0.02076, 468.0
0.02085, 467.5
